Task,InputMode,Effect,N,Participants,MedianMagnitudeCm,MeanMagnitudeCm,MedianMagnitudeMinusNoneCm,MeanMagnitudeMinusNoneCm,MedianSignedShiftCm
LineBisection,controller,None,5,5,2.910338320634165,2.7794661447888775,0,0,2.910338320634165
LineBisection,controller,Translation,5,5,7.2341323739705015,6.320724641432144,4.323794053336337,3.541258496643267,-7.2341323739705015
LineBisection,controller,Rotation,5,5,13.869893317219107,13.246454605980905,10.670136429826222,10.466988461192027,-6.756853903989849
LineBisection,controller,Skew,5,5,5.376454909482428,8.243686665855716,3.7169289131234944,5.464220521066838,-1.4461111801621875
LineBisection,embodied,None,5,5,9.780028706027629,7.619735263457288,0,0,-1.4960652260024423
LineBisection,embodied,Translation,5,5,3.9801296999967377,8.27722599425868,-1.1019059790347239,0.657490730801392,-3.9801296999967377
LineBisection,embodied,Rotation,5,5,5.498429172215754,11.61970013266953,-1.3252632678522183,3.9999648692122425,-5.498429172215754
LineBisection,embodied,Skew,5,5,7.416722115647649,7.366974691906284,-2.2980337184032216,-0.25276057155100434,7.287547133540645
OpenLoop,controller,None,5,5,5.323816966055416,12.820068369921925,0,0,-1.4652781152282746
OpenLoop,controller,Translation,5,5,12.753188105991434,9.17915427219998,1.0442166163530366,-3.640914097721944,-4.588925035024683
OpenLoop,controller,Rotation,5,5,10.22409189533711,9.465409711793086,2.20838244395544,-3.3546586581288387,0.291526660241205
OpenLoop,controller,Skew,5,5,8.998011824473942,9.314948008045132,0.13619319181373424,-3.5051203618767928,-1.6014713070420088
OpenLoop,embodied,None,5,5,17.789299696378627,15.695430915729892,0,0,8.64053776725052
OpenLoop,embodied,Translation,5,5,3.904796734704295,8.235516519308103,-6.331630904645101,-7.459914396421789,-2.833986229061342
OpenLoop,embodied,Rotation,5,5,4.824688784380196,3.8095200220984493,-12.964610911998431,-11.885910893631442,0.6692424465290499
OpenLoop,embodied,Skew,5,5,16.513556245361556,14.304854633159193,-1.275743451017071,-1.390576282570698,-2.222438464146123
