MetaPath,SessionID,Timestamp,ExperimentMode,SessionState,InputModeLabel,StudyGlobalParticipantId,StudyInputMode,StudyParticipantIndex,StudyResolvedEffect,StudyResolvedTask,StudySessionIndex,StudyTaskOrder,TrackingMode,XRBackend,SessionDuration,SummaryPath,EventPath,SamplePath
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_43_55_5102_Meta.csv,42318883-68ec-414c-a4a1-d0f37a95648e,2026-05-20T12:43:55Z,Participant,Finished,controller,1,Controller,1,None,LineBisection,1,LineBisectionFirst,Controllers,OpenXR,270.6867,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_43_55_5133_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_43_55_5117_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_43_55_5133_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_55_44_7662_Meta.csv,b78da051-a2ef-4943-a01e-c8707ae221d3,2026-05-20T12:55:44Z,Participant,Finished,controller,1,Controller,1,Skew,LineBisection,2,LineBisectionFirst,Controllers,OpenXR,212.7282,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_55_44_7677_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_55_44_7662_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_55_44_7662_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_58_56_6224_Meta.csv,eb4be3d6-5ee7-426d-8af7-d17239446675,2026-05-20T12:58:56Z,Participant,Finished,controller,1,Controller,1,Rotation,LineBisection,3,LineBisectionFirst,Controllers,OpenXR,167.8199,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_58_56_6239_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_58_56_6239_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_12_58_56_6239_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_02_11_3878_Meta.csv,36a235a5-366d-409f-a764-dfdac1360b2f,2026-05-20T13:02:11Z,Participant,Finished,controller,1,Controller,1,Translation,LineBisection,4,LineBisectionFirst,Controllers,OpenXR,179.2075,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_02_11_3893_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_02_11_3878_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_02_11_3893_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_05_02_7587_Meta.csv,b3dcd35b-3e1e-49ff-95af-e3add3052041,2026-05-20T13:05:02Z,Participant,Finished,controller,1,Controller,1,None,OpenLoop,5,LineBisectionFirst,Controllers,OpenXR,151.2995,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_05_02_7603_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_05_02_7587_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_05_02_7603_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_08_09_9401_Meta.csv,540a0b4b-47c2-4e43-932d-947cdcdc1678,2026-05-20T13:08:09Z,Participant,Finished,controller,1,Controller,1,Rotation,OpenLoop,6,LineBisectionFirst,Controllers,OpenXR,171.4467,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_08_09_9427_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_08_09_9421_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_08_09_9427_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_10_50_0900_Meta.csv,107aee00-c8b0-473a-983e-b46c6c7c3862,2026-05-20T13:10:50Z,Participant,Finished,controller,1,Controller,1,Translation,OpenLoop,7,LineBisectionFirst,Controllers,OpenXR,143.8911,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_10_50_0926_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_10_50_0921_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_10_50_0926_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_13_31_3380_Meta.csv,20037a75-04a2-485b-b9b3-1bd918487feb,2026-05-20T13:13:31Z,Participant,Finished,controller,1,Controller,1,Skew,OpenLoop,8,LineBisectionFirst,Controllers,OpenXR,145.4324,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_13_31_3385_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_13_31_3385_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_controller_2026_05_20_13_13_31_3385_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_25_59_6270_Meta.csv,c5906ef1-fc43-4d8c-aeff-5c30adc4e116,2026-05-20T13:25:59Z,Participant,Finished,embodied,2,Embodied,1,None,LineBisection,1,LineBisectionFirst,Hands,OpenXR,182.0041,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_25_59_6285_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_25_59_6270_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_25_59_6285_Sample.csv
C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_28_07_6179_Meta.csv,6782ccee-baad-4c13-be16-9882dd62b0c0,2026-05-20T13:28:07Z,Participant,Finished,embodied,2,Embodied,1,Translation,LineBisection,2,LineBisectionFirst,Hands,OpenXR,113.447,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_28_07_6190_Summary.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_28_07_6190_Event.csv,C:/UNI/P8/Prism-effect-adaptation/Assets/PrismLogging/Participants/prism_embodied_2026_05_20_13_28_07_6190_Sample.csv
