Participant,InputMode,Modules,MeanMagnitudeCm,MedianMagnitudeCm,MaxNoneMagnitudeCm,MeanPerturbationMinusNoneCm,Complete,ExposureAttempts,ExposureMisses,ExposureHitRate,ExposureMedianPaceSeconds,ExposureMeanDistanceCm,SampleDurationMinutes,PointerPathMeters,PointerMeanSpeedMps,PointerP95SpeedMps,ObserverNote,InterpretiveTags,HighNoneDriftFlag,LowExposureHitRateFlag,FastExposurePaceFlag,HighExposureDistanceFlag,HighPointerSpeedFlag,ObserverRiskFlag,AnyQualityFlag
1,controller,8,14.067235800512387,12.110188218210444,3.895843887908738,16.052569560039313,TRUE,480,193,0.5979166666666667,1.1863000392913818,10.58125,24.65781000057856,530.6171758300275,0.35226291415870525,1.1576643696291722,"Meget erfaring i VR, langsom og præcis.",VR-erfaren; langsom; præcis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,embodied,8,9.395225536631845,9.317193056715356,17.789299696378627,-7.694517259166812,TRUE,480,284,0.4083333333333333,0.6589500904083252,13.798833333333333,15.292103334267933,390.22641877752307,0.44488070002415586,1.3721766900932173,"Ekstremt hurtig gennemgang, missede mange gange, dårlig test.",meget hurtig; mange misses; lav datakvalitet,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
3,controller,8,12.60699590038035,10.07183963316676,44.40651374903959,-15.640360998781635,TRUE,480,69,0.85625,1.4042000770568848,6.212979166666667,26.84658999443054,482.5877971039354,0.30409601792269053,1.54510399156913,"Stabil, ikke meget at notere.",stabil,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
4,embodied,8,8.228063850138227,2.7616624448539824,22.348950982260444,-5.721441295087075,TRUE,480,265,0.44791666666666663,1.340900182723999,12.889979166666667,23.590869998931886,419.7645580480293,0.3101654880690479,1.6187866685916197,"Ikke meget erfaring, missede mange, headset blev løst.",lav VR-erfaring; mange misses; headset løst,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
5,controller,8,7.421789558381385,7.640832124781398,9.008889131377606,1.9495677765006667,TRUE,480,58,0.8791666666666667,0.591999888420105,6.418375,13.115313331286112,386.3509276044406,0.505597763166559,1.5148955700380915,"Meget erfaring, ekstremt præcis.",VR-erfaren; meget præcis,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
6,embodied,8,12.352365262567638,10.762398255466021,8.64053776725052,9.712085021254875,TRUE,480,189,0.60625,0.8507000207901001,10.675333333333333,21.2364950021108,507.09540627052377,0.4032082125373471,1.9641278160875857,"Tracking i embodiment var finicky i nogle tilfælde. Adaptation virkede til at transfer til efterfølgende tasks, specielt run 2 post til run 3 baseline. Håndposition gjorde små justeringer til store afstandsforskelle. Open loop var mere præcis end line bisection med no effect.",tracking-problemer; mulig carryover; embodiment; opgaveforskel,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
7,controller,8,7.178945674548678,5.350135937768922,5.323816966055416,5.67960736307569,TRUE,480,162,0.6625,0.9956499338150024,9.9568125,20.02916499376297,492.01794766378475,0.407825332861876,1.6654412215099885,Lærte hurtigt og ramte godt med fin hastighed. Havde svært ved skew i open loop og justerede modsat forventet exposure-retning. Translation mellem task 2-3 syntes at korrigere skew. Inconsistent men god form; moderat VR-erfaring.,hurtig læring; skew-problem; mulig carryover; moderat VR-erfaring,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8,embodied,8,5.461317279049495,4.868776160023243,10.236427639349396,-6.062547858185357,TRUE,480,199,0.5854166666666667,1.0033000707626343,10.714541666666667,22.62085999250412,446.785737557223,0.33277812315557986,1.4193296017891344,"Blev hurtigt træt og var ikke specielt fokuseret. Kalibrerede mens de kiggede en anden vej, så første post hits i open loop skew blev outliers. Forvirret over hvor der skulle klikkes, hvilket ledte til outliers.",fatigue; lav fokus; kalibreringsfejl; outliers,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
9,controller,8,3.3312283286883044,2.109004045392921,6.044536141931191,-0.5649050665219049,TRUE,480,85,0.8229166666666666,1.190600037574768,6.6519375,19.56020499865214,449.7742266096099,0.38370117804558085,1.6666186069775049,"Rolig og præcis gennemgang. Fatigue byggede op. Meget præcis og resistent over for adaptation, dog skew-effekt. Brugte overkrop til at sigte selv efter kommentar, hvilket kan gøre resultatet mere præcist og resistent mod perturbation.",rolig; præcis; fatigue; kompensationsstrategi; adaptation-resistent,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
10,embodied,8,12.643626929479934,12.56207945062849,19.46193849341047,-3.8433340622833803,TRUE,480,299,0.3770833333333333,0.8001499176025391,15.629395833333334,19.718408330281576,510.2366029918115,0.510532968697076,1.9769853337688519,Embodiment test hvor deltageren lyttede og forstod opgaven godt. Adaptation bløder ind i næste opgave ved task 3 baseline. Pegede meget opad selv med kommentar. Blev hurtigere mod starten og dermed mere upræcis. Generelt upræcis.,embodiment; mulig carryover; peger opad; stigende hastighed; upræcis,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
