Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-04-01 12:14:15.4961;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-04-01 12:14:15.4976;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;1;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-04-01 12:14:15.4997;Controllers;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2484;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;-0.0012;0.0227;-0.0620;356.2406;358.7706;0.3014;NULL;NULL;NULL;NULL;-0.0032;0.0000;2.0000;NULL;NULL;-0.2393;-0.8351;-0.0092;56.7792;307.8002;298.6537;-0.2322;-0.8315;-0.0145;56.9496;307.6046;298.4144;0;NULL;-0.2322;-0.8315;-0.0145;56.9496;307.6046;298.4144;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0233;-0.0259;0.5420;3.7550;358.9580;359.3764;0.0267;-0.0207;0.5335;3.4537;358.8952;359.9942;1;NULL;0.0267;-0.0207;0.5335;3.4537;358.8952;359.9942;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;-0.3176;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;20.9576;2026-04-01 12:14:37.9197;Controllers;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;2484;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;-0.0012;0.0227;-0.0620;356.2406;358.7706;0.3014;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2393;-0.8351;-0.0092;56.7792;307.8002;298.6537;-0.2322;-0.8315;-0.0145;56.9496;307.6046;298.4144;0;NULL;-0.2322;-0.8315;-0.0145;56.9496;307.6046;298.4144;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0233;-0.0259;0.5420;3.7550;358.9580;359.3764;0.0267;-0.0207;0.5335;3.4537;358.8952;359.9942;1;NULL;0.0267;-0.0207;0.5335;3.4537;358.8952;359.9942;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-04-01 12:14:37.9212;Controllers;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2518;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0024;0.0235;-0.0623;356.1592;358.9967;359.7817;NULL;NULL;NULL;NULL;-0.0059;0.0000;2.0000;NULL;NULL;-0.2422;-0.8380;-0.0163;57.0714;306.4261;296.3458;-0.2433;-0.8327;-0.0243;57.0087;305.5619;295.4146;0;NULL;-0.2433;-0.8327;-0.0243;57.0087;305.5619;295.4146;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0234;-0.0249;0.5412;3.8871;358.8501;0.2141;0.0233;-0.0237;0.5313;3.6299;359.3584;0.8772;1;NULL;0.0233;-0.0237;0.5313;3.6299;359.3584;0.8772;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;-0.5926;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2917;2026-04-01 12:14:38.2096;Controllers;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;2518;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0024;0.0235;-0.0623;356.1592;358.9967;359.7817;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2422;-0.8380;-0.0163;57.0714;306.4261;296.3458;-0.2433;-0.8327;-0.0243;57.0087;305.5619;295.4146;0;NULL;-0.2433;-0.8327;-0.0243;57.0087;305.5619;295.4146;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0234;-0.0249;0.5412;3.8871;358.8501;0.2141;0.0233;-0.0237;0.5313;3.6299;359.3584;0.8772;1;NULL;0.0233;-0.0237;0.5313;3.6299;359.3584;0.8772;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-04-01 12:14:38.2112;Controllers;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2548;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0041;0.0214;-0.0614;357.4436;358.8433;359.3489;NULL;NULL;NULL;NULL;-0.0075;0.0000;2.0000;NULL;NULL;-0.2419;-0.8383;-0.0181;57.2555;306.6334;296.7547;-0.2333;-0.8335;-0.0242;57.8480;307.2396;297.8864;0;NULL;-0.2333;-0.8335;-0.0242;57.8480;307.2396;297.8864;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0226;-0.0247;0.5399;3.7533;358.8200;0.9509;0.0202;-0.0246;0.5283;3.6463;358.6362;1.6517;1;NULL;0.0202;-0.0246;0.5283;3.6463;358.6362;1.6517;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;-0.7470;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2498;2026-04-01 12:14:38.4597;Controllers;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;2548;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0041;0.0214;-0.0614;357.4436;358.8433;359.3489;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2419;-0.8383;-0.0181;57.2555;306.6334;296.7547;-0.2333;-0.8335;-0.0242;57.8480;307.2396;297.8864;0;NULL;-0.2333;-0.8335;-0.0242;57.8480;307.2396;297.8864;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0226;-0.0247;0.5399;3.7533;358.8200;0.9509;0.0202;-0.0246;0.5283;3.6463;358.6362;1.6517;1;NULL;0.0202;-0.0246;0.5283;3.6463;358.6362;1.6517;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;NULL;NULL;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-04-01 12:14:38.4612;Controllers;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NoMitigation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2576;96ec4e4a-d95f-4da9-bfda-e36879acb0a9;NULL;0.0019;0.0219;-0.0625;357.2528;358.1992;359.6816;NULL;NULL;NULL;NULL;-0.0058;0.0000;2.0000;NULL;NULL;-0.2389;-0.8399;-0.0215;58.1375;306.6146;297.4863;-0.2349;-0.8360;-0.0293;58.5597;306.0249;297.4750;0;NULL;-0.2349;-0.8360;-0.0293;58.5597;306.0249;297.4750;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0212;-0.0262;0.5386;3.8234;358.9407;1.4877;0.0193;-0.0295;0.5289;3.5156;359.5536;2.0443;1;NULL;0.0193;-0.0295;0.5289;3.5156;359.5536;2.0443;ControllerBody;NULL;a8a4c687-4692-49cc-837e-e9fbb000d445;-0.5782;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.2333;2026-04-01 12:14:38.6919;Controllers;4;30;OpenXR
