Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;ExperimentMode;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;Participant;1;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-05-21 14:06:08.9490;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;Participant;1;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-05-21 14:06:08.9506;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;LineBisection;0.0000;2026-05-21 14:06:08.9516;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-10.0784;Trial Accepted;TaskEvent;Participant;577;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0013;0.0132;-0.0312;3.2495;359.3663;354.0239;NULL;NULL;NULL;NULL;-0.1008;0.0000;2.0000;NULL;NULL;-0.1046;-0.5128;0.3477;15.1193;15.4306;43.1550;-0.1044;-0.5089;0.3392;14.4542;17.1844;44.3929;1;NULL;-0.1044;-0.5089;0.3392;14.4542;17.1844;44.3929;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0236;-0.0950;0.5743;351.1655;355.0151;7.4085;0.0218;-0.0952;0.5678;351.6661;355.3182;7.4085;0;NULL;0.0218;-0.0952;0.5678;351.6661;355.3182;7.4085;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;5.1016;2026-05-21 14:06:16.1728;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;577;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0013;0.0132;-0.0312;3.2495;359.3663;354.0239;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.1046;-0.5128;0.3477;15.1193;15.4306;43.1550;-0.1044;-0.5089;0.3392;14.4542;17.1844;44.3929;1;NULL;-0.1044;-0.5089;0.3392;14.4542;17.1844;44.3929;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0236;-0.0950;0.5743;351.1655;355.0151;7.4085;0.0218;-0.0952;0.5678;351.6661;355.3182;7.4085;0;NULL;0.0218;-0.0952;0.5678;351.6661;355.3182;7.4085;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;LineBisection;0.0000;2026-05-21 14:06:16.1743;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-7.5129;Trial Accepted;TaskEvent;Participant;848;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0005;0.0113;-0.0246;3.6080;359.5205;356.3683;NULL;NULL;NULL;NULL;-0.0751;0.0000;2.0000;NULL;NULL;-0.0981;-0.5158;0.3489;18.1651;18.8006;42.6125;-0.0988;-0.5137;0.3408;17.2429;19.1173;43.2931;1;NULL;-0.0988;-0.5137;0.3408;17.2429;19.1173;43.2931;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0547;-0.0607;0.5704;346.7410;354.8126;3.7759;0.0508;-0.0619;0.5642;347.1060;354.8334;4.7826;0;NULL;0.0508;-0.0619;0.5642;347.1060;354.8334;4.7826;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.3824;2026-05-21 14:06:18.5448;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;848;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0005;0.0113;-0.0246;3.6080;359.5205;356.3683;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0981;-0.5158;0.3489;18.1651;18.8006;42.6125;-0.0988;-0.5137;0.3408;17.2429;19.1173;43.2931;1;NULL;-0.0988;-0.5137;0.3408;17.2429;19.1173;43.2931;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0547;-0.0607;0.5704;346.7410;354.8126;3.7759;0.0508;-0.0619;0.5642;347.1060;354.8334;4.7826;0;NULL;0.0508;-0.0619;0.5642;347.1060;354.8334;4.7826;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;LineBisection;0.0000;2026-05-21 14:06:18.5463;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-9.5493;Trial Accepted;TaskEvent;Participant;1116;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0185;0.0056;-0.0274;7.1637;2.2791;356.3171;NULL;NULL;NULL;NULL;-0.0955;0.0000;2.0000;NULL;NULL;-0.1019;-0.5169;0.3455;18.5166;18.1839;44.9498;-0.1061;-0.5101;0.3356;16.4423;18.0201;45.2360;1;NULL;-0.1061;-0.5101;0.3356;16.4423;18.0201;45.2360;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0601;-0.0613;0.5533;346.7915;353.8621;9.7928;0.0608;-0.0605;0.5416;347.0943;353.6905;9.3187;0;NULL;0.0608;-0.0605;0.5416;347.0943;353.6905;9.3187;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.2572;2026-05-21 14:06:20.8021;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1116;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;0.0185;0.0056;-0.0274;7.1637;2.2791;356.3171;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.1019;-0.5169;0.3455;18.5166;18.1839;44.9498;-0.1061;-0.5101;0.3356;16.4423;18.0201;45.2360;1;NULL;-0.1061;-0.5101;0.3356;16.4423;18.0201;45.2360;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0601;-0.0613;0.5533;346.7915;353.8621;9.7928;0.0608;-0.0605;0.5416;347.0943;353.6905;9.3187;0;NULL;0.0608;-0.0605;0.5416;347.0943;353.6905;9.3187;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;LineBisection;0.0000;2026-05-21 14:06:20.8036;Controllers;4;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-3.2993;Trial Accepted;TaskEvent;Participant;1377;0227eda0-e5ec-4d51-bdc2-cccaadbbbc7d;NULL;-0.0014;0.0127;-0.0347;3.7466;358.0259;358.6580;NULL;NULL;NULL;NULL;-0.0330;0.0000;2.0000;NULL;NULL;-0.1130;-0.5150;0.3465;15.3747;20.6037;57.5012;-0.1165;-0.5118;0.3390;14.1210;21.1435;58.1263;1;NULL;-0.1165;-0.5118;0.3390;14.1210;21.1435;58.1263;ControllerBody;1.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0378;-0.0925;0.5687;353.9095;357.1698;9.1861;0.0468;-0.0996;0.5660;354.9203;358.3636;9.2552;0;NULL;0.0468;-0.0996;0.5660;354.9203;358.3636;9.2552;ControllerBody;NULL;61d455e7-7874-4d12-b438-afdee70126e2;NULL;NULL;7;Controller;4;Skew;LineBisection;8;OpenLoopFirst;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.1834;2026-05-21 14:06:22.9847;Controllers;4;10;OpenXR
