Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;ExperimentMode;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;Participant;1;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-20 13:32:00.6664;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;Participant;1;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-20 13:32:00.6680;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 13:32:00.6695;Hands;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;489;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0064;0.0039;-0.0188;2.7466;358.3016;3.9653;NULL;NULL;NULL;NULL;-0.2276;0.0000;2.0000;NULL;NULL;-0.0096;-0.6473;0.2833;15.7298;19.6858;351.5361;-0.0087;-0.6419;0.2700;14.1183;22.0669;351.2928;1;NULL;-0.0815;-0.6379;0.1833;20.1947;355.1066;73.5871;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0326;-0.1166;0.4810;327.0674;346.3784;347.3597;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;-22.7604;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;4.5045;2026-05-20 13:32:07.6244;Hands;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;489;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0064;0.0039;-0.0188;2.7466;358.3016;3.9653;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0096;-0.6473;0.2833;15.7298;19.6858;351.5361;-0.0087;-0.6419;0.2700;14.1183;22.0669;351.2928;1;NULL;-0.0815;-0.6379;0.1833;20.1947;355.1066;73.5871;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0326;-0.1166;0.4810;327.0674;346.3784;347.3597;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 13:32:07.6259;Hands;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;708;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0099;0.0065;-0.0159;2.0911;358.9442;3.0714;NULL;NULL;NULL;NULL;-0.3270;0.0000;2.0000;NULL;NULL;-0.0071;-0.6413;0.2769;12.1861;20.4582;350.5052;-0.0080;-0.6356;0.2653;10.5495;23.5767;352.2256;1;NULL;-0.0824;-0.6447;0.1827;17.0866;358.3907;77.4068;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0352;-0.1440;0.4985;327.8597;349.3520;340.0865;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;-32.7008;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.9255;2026-05-20 13:32:09.5469;Hands;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;708;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0099;0.0065;-0.0159;2.0911;358.9442;3.0714;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0071;-0.6413;0.2769;12.1861;20.4582;350.5052;-0.0080;-0.6356;0.2653;10.5495;23.5767;352.2256;1;NULL;-0.0824;-0.6447;0.1827;17.0866;358.3907;77.4068;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0352;-0.1440;0.4985;327.8597;349.3520;340.0865;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 13:32:09.5484;Hands;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1980;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0073;0.0052;-0.0168;3.3640;359.7344;2.7510;NULL;NULL;NULL;NULL;-0.2797;0.0000;2.0000;NULL;NULL;-0.0045;-0.6448;0.2732;12.5525;22.3444;349.1129;-0.0051;-0.6377;0.2618;10.6724;25.1581;350.5105;1;NULL;-0.0827;-0.6399;0.1805;14.0333;2.4730;80.5172;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0488;-0.2071;0.5071;335.0732;350.5999;335.9038;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;-27.9739;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;10.6140;2026-05-20 13:32:20.1604;Hands;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1980;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;-0.0073;0.0052;-0.0168;3.3640;359.7344;2.7510;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0045;-0.6448;0.2732;12.5525;22.3444;349.1129;-0.0051;-0.6377;0.2618;10.6724;25.1581;350.5105;1;NULL;-0.0827;-0.6399;0.1805;14.0333;2.4730;80.5172;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0488;-0.2071;0.5071;335.0732;350.5999;335.9038;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 13:32:20.1619;Hands;4;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;3327;9be167ab-f78a-46c1-a796-cd32b7c8dc65;NULL;0.0032;0.0048;-0.0284;4.1445;0.0060;1.3391;NULL;NULL;NULL;NULL;-0.2894;0.0000;2.0000;NULL;NULL;-0.0028;-0.6425;0.2711;11.8345;22.7921;346.9431;-0.0017;-0.6354;0.2580;9.2757;25.7379;347.6919;1;NULL;-0.0801;-0.6454;0.1814;11.0941;3.5767;84.6160;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0153;-1.9031;0.0017;0.0000;3.6845;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0440;-0.1877;0.4943;330.3563;350.3060;329.7953;Palm;NULL;ba781de9-4bf5-4d81-aeb7-9046118a1af2;-28.9433;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;11.2721;2026-05-20 13:32:31.4319;Hands;4;10;OpenXR
