Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;ExperimentMode;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;Participant;1;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-19 13:51:12.0665;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;Participant;1;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-19 13:51:12.0680;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-19 13:51:12.0700;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1129;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0432;0.0092;-0.0689;350.0071;1.9528;356.5563;NULL;NULL;NULL;NULL;-0.2435;0.0000;2.0000;NULL;NULL;-0.1163;-0.6150;0.3472;2.7422;9.8717;275.2782;-0.1210;-0.6145;0.3360;3.1015;9.8338;276.0303;1;NULL;-0.1210;-0.6145;0.3360;3.1015;9.8338;276.0303;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0823;-0.1354;0.5441;351.8089;347.3870;11.5965;0.0750;-0.1253;0.5354;351.3759;345.5667;11.6871;0;NULL;0.0750;-0.1253;0.5354;351.3759;345.5667;11.6871;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;-24.3515;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;9.7971;2026-05-19 13:51:24.4266;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1129;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0432;0.0092;-0.0689;350.0071;1.9528;356.5563;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.1163;-0.6150;0.3472;2.7422;9.8717;275.2782;-0.1210;-0.6145;0.3360;3.1015;9.8338;276.0303;1;NULL;-0.1210;-0.6145;0.3360;3.1015;9.8338;276.0303;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0823;-0.1354;0.5441;351.8089;347.3870;11.5965;0.0750;-0.1253;0.5354;351.3759;345.5667;11.6871;0;NULL;0.0750;-0.1253;0.5354;351.3759;345.5667;11.6871;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-19 13:51:24.4282;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1357;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0403;0.0123;-0.0608;348.2075;1.2427;359.0257;NULL;NULL;NULL;NULL;-0.3166;0.0000;2.0000;NULL;NULL;-0.1169;-0.6212;0.3438;5.4141;10.5808;275.3065;-0.1132;-0.6166;0.3369;4.9556;11.3275;276.3087;1;NULL;-0.1132;-0.6166;0.3369;4.9556;11.3275;276.3087;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0677;-0.1767;0.5455;348.2054;345.2018;15.7019;0.0606;-0.1744;0.5377;348.5627;344.7161;16.7574;0;NULL;0.0606;-0.1744;0.5377;348.5627;344.7161;16.7574;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;-31.6592;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.0637;2026-05-19 13:51:26.4873;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1357;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0403;0.0123;-0.0608;348.2075;1.2427;359.0257;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.1169;-0.6212;0.3438;5.4141;10.5808;275.3065;-0.1132;-0.6166;0.3369;4.9556;11.3275;276.3087;1;NULL;-0.1132;-0.6166;0.3369;4.9556;11.3275;276.3087;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0677;-0.1767;0.5455;348.2054;345.2018;15.7019;0.0606;-0.1744;0.5377;348.5627;344.7161;16.7574;0;NULL;0.0606;-0.1744;0.5377;348.5627;344.7161;16.7574;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-19 13:51:26.4878;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1581;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0320;0.0086;-0.0665;350.0926;2.5395;0.3865;NULL;NULL;NULL;NULL;-0.2209;0.0000;2.0000;NULL;NULL;-0.1138;-0.6239;0.3444;7.7999;10.7575;276.0334;-0.1161;-0.6193;0.3350;7.2658;11.2311;277.0270;1;NULL;-0.1161;-0.6193;0.3350;7.2658;11.2311;277.0270;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0911;-0.1828;0.5388;348.4605;347.9469;20.0064;0.0864;-0.1641;0.5258;346.5851;347.4596;19.8854;0;NULL;0.0864;-0.1641;0.5258;346.5851;347.4596;19.8854;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;-22.0858;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.9770;2026-05-19 13:51:28.4633;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1581;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0320;0.0086;-0.0665;350.0926;2.5395;0.3865;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.1138;-0.6239;0.3444;7.7999;10.7575;276.0334;-0.1161;-0.6193;0.3350;7.2658;11.2311;277.0270;1;NULL;-0.1161;-0.6193;0.3350;7.2658;11.2311;277.0270;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0911;-0.1828;0.5388;348.4605;347.9469;20.0064;0.0864;-0.1641;0.5258;346.5851;347.4596;19.8854;0;NULL;0.0864;-0.1641;0.5258;346.5851;347.4596;19.8854;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;NULL;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-19 13:51:28.4653;Controllers;4;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1802;c89bf56f-5b83-4b3f-96b2-d58eb230c918;NULL;0.0354;0.0088;-0.0612;349.2283;0.8855;0.6954;NULL;NULL;NULL;NULL;-0.2479;0.0000;2.0000;NULL;NULL;-0.1143;-0.6268;0.3431;8.9583;11.6519;274.6988;-0.1169;-0.6244;0.3334;8.3350;11.9496;275.0448;1;NULL;-0.1169;-0.6244;0.3334;8.3350;11.9496;275.0448;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0763;-0.1847;0.5470;351.2402;347.4225;22.9883;0.0696;-0.1666;0.5351;349.4992;347.4352;23.1370;0;NULL;0.0696;-0.1666;0.5351;349.4992;347.4352;23.1370;ControllerBody;NULL;055b213d-766f-4d17-bd82-32ddd8269fba;-24.7918;NULL;1;Controller;1;Skew;OpenLoop;8;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.8575;2026-05-19 13:51:30.3215;Controllers;4;10;OpenXR
