Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;ExperimentMode;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;Participant;1;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-20 11:31:14.6294;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;Participant;1;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-20 11:31:14.6294;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;;;;;;;;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 11:31:14.6324;Hands;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;645;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0229;0.0156;-0.0628;350.4593;0.2929;358.0879;NULL;NULL;NULL;NULL;-0.0404;0.0000;2.0000;NULL;NULL;-0.0697;-0.5995;0.3613;11.6919;4.3603;7.3642;-0.0685;-0.5938;0.3508;10.1380;5.9994;7.9924;1;NULL;-0.1107;-0.6233;0.2733;7.0704;358.4956;94.6472;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0314;-0.0552;0.4716;344.5215;348.8401;351.6482;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;-4.0393;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;5.6888;2026-05-20 11:31:22.5018;Hands;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;645;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0229;0.0156;-0.0628;350.4593;0.2929;358.0879;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0697;-0.5995;0.3613;11.6919;4.3603;7.3642;-0.0685;-0.5938;0.3508;10.1380;5.9994;7.9924;1;NULL;-0.1107;-0.6233;0.2733;7.0704;358.4956;94.6472;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0314;-0.0552;0.4716;344.5215;348.8401;351.6482;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 11:31:22.5034;Hands;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;991;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0224;0.0109;-0.0628;352.8319;0.5259;356.8670;NULL;NULL;NULL;NULL;-0.1941;0.0000;2.0000;NULL;NULL;-0.0699;-0.5977;0.3604;10.7987;3.6923;5.8303;-0.0687;-0.5928;0.3502;8.9308;4.9625;6.6799;1;NULL;-0.1085;-0.6221;0.2734;3.9041;359.3727;96.9423;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0118;-0.0460;0.4737;339.4685;346.5027;349.4053;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;-19.4133;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9577;2026-05-20 11:31:25.4553;Hands;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;991;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0224;0.0109;-0.0628;352.8319;0.5259;356.8670;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0699;-0.5977;0.3604;10.7987;3.6923;5.8303;-0.0687;-0.5928;0.3502;8.9308;4.9625;6.6799;1;NULL;-0.1085;-0.6221;0.2734;3.9041;359.3727;96.9423;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0118;-0.0460;0.4737;339.4685;346.5027;349.4053;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 11:31:25.4568;Hands;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1392;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0212;0.0099;-0.0649;352.3716;2.2895;356.2647;NULL;NULL;NULL;NULL;-0.1361;0.0000;2.0000;NULL;NULL;-0.0719;-0.5969;0.3606;10.4160;2.1166;5.3414;-0.0700;-0.5918;0.3510;9.0393;3.0271;5.4767;1;NULL;-0.1082;-0.6064;0.2672;2.5813;356.8559;95.3061;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0207;-0.0569;0.4700;343.7228;347.4020;350.9690;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;-13.6074;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;3.3407;2026-05-20 11:31:28.7961;Hands;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Participant;1392;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0212;0.0099;-0.0649;352.3716;2.2895;356.2647;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0719;-0.5969;0.3606;10.4160;2.1166;5.3414;-0.0700;-0.5918;0.3510;9.0393;3.0271;5.4767;1;NULL;-0.1082;-0.6064;0.2672;2.5813;356.8559;95.3061;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0207;-0.0569;0.4700;343.7228;347.4020;350.9690;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;NULL;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-20 11:31:28.7976;Hands;4;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Participant;1724;eba8472f-d45f-4e68-914c-4f0334edce25;NULL;-0.0154;0.0092;-0.0661;352.4926;1.8010;355.9210;NULL;NULL;NULL;NULL;-0.0654;0.0000;2.0000;NULL;NULL;-0.0702;-0.5963;0.3600;9.9276;2.8835;3.7966;-0.0658;-0.5926;0.3500;8.6308;4.5273;4.0494;1;NULL;-0.1102;-0.6154;0.2682;2.8184;357.1362;93.3632;Palm;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0206;-1.9011;0.0649;0.0000;2.8275;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0188;-0.0440;0.4640;345.0984;349.6541;355.7790;Palm;NULL;d8f24dae-13ce-4349-be3c-585266a7c9d7;-6.5393;NULL;2;Embodied;1;None;OpenLoop;5;LineBisectionFirst;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.7658;2026-05-20 11:31:31.5624;Hands;4;10;OpenXR
