Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:32.2530;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:32.2730;Controllers;NULL;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-0.1210;Trial Accepted;TaskEvent;405;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0187;-0.0080;-0.0029;354.9917;0.2350;0.3781;NULL;-0.0012;0.0570;2.0000;-0.0012;0.0570;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8425;78.1344;196.5659;0.3736;-0.4632;0.5746;45.7334;78.2284;196.4697;0;NULL;1.2269;0.0570;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0844;0.5898;354.3407;0.2954;4.4210;0.0485;-0.0891;0.5834;354.2381;0.7887;4.9496;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;3.7762;2026-03-23 14:00:36.0492;Controllers;1;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.7506;Trial Accepted;TaskEvent;467;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0177;-0.0085;-0.0031;355.1989;359.5858;0.5232;NULL;0.0075;-0.0954;2.0000;0.0075;-0.0954;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2276;196.4690;0;NULL;1.1627;-0.0954;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0865;0.5889;354.3403;359.7734;5.2159;0.0373;-0.0873;0.5788;354.2239;358.9973;5.4840;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5161;2026-03-23 14:00:36.5653;Controllers;2;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-2.7545;Trial Accepted;TaskEvent;536;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0173;-0.0089;-0.0047;355.1263;359.0803;0.6849;NULL;-0.0275;0.0512;2.0000;-0.0275;0.0512;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2273;196.4686;0;NULL;1.1537;0.0512;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0345;-0.0917;0.5870;355.1887;358.4530;5.8364;0.0304;-0.0982;0.5799;355.4274;358.9215;6.2159;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5751;2026-03-23 14:00:37.1404;Controllers;3;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.5072;Trial Accepted;TaskEvent;597;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0187;-0.0091;-0.0046;355.2587;359.3552;0.8099;NULL;0.0051;-0.0292;2.0000;0.0051;-0.0292;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7323;78.2282;196.4694;0;NULL;1.0787;-0.0292;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0382;-0.0962;0.5878;355.8273;359.4647;5.8434;0.0395;-0.1013;0.5807;356.1451;359.7072;6.1796;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5079;2026-03-23 14:00:37.6483;Controllers;4;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.8806;Trial Accepted;TaskEvent;657;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0176;-0.0082;-0.0048;355.1484;359.0270;0.7889;NULL;0.0088;0.0296;2.0000;0.0088;0.0296;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7325;78.2275;196.4692;0;NULL;1.0752;0.0296;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0372;-0.0974;0.5876;355.8876;359.1807;6.3946;0.0335;-0.0975;0.5785;355.5598;359.0699;7.2350;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5167;2026-03-23 14:00:38.1650;Controllers;5;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.4758;Trial Accepted;TaskEvent;712;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0186;-0.0074;-0.0065;354.6440;359.2399;0.6369;NULL;0.0248;-0.0648;2.0000;0.0248;-0.0648;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7329;78.2275;196.4694;0;NULL;1.1373;-0.0648;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0384;-0.0976;0.5875;355.9677;359.4639;6.4156;0.0389;-0.1013;0.5794;355.4902;359.8631;6.6916;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4584;2026-03-23 14:00:38.6234;Controllers;6;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.9488;Trial Accepted;TaskEvent;769;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0199;-0.0077;-0.0081;354.6854;358.8173;0.1850;NULL;0.0295;0.0920;2.0000;0.0295;0.0920;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2284;196.4694;0;NULL;1.0408;0.0920;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0381;-0.0988;0.5864;356.0388;358.3768;6.4165;0.0334;-0.1006;0.5760;355.5923;358.4721;7.5860;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4749;2026-03-23 14:00:39.0983;Controllers;7;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.3841;Trial Accepted;TaskEvent;816;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0202;-0.0078;-0.0079;354.6247;359.2767;0.2895;NULL;0.0138;0.0803;2.0000;0.0138;0.0803;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2278;196.4690;0;NULL;1.0918;0.0803;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0392;-0.0986;0.5856;355.8955;359.4133;6.7544;0.0413;-0.0991;0.5767;355.8862;0.4327;6.5429;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.3924;2026-03-23 14:00:39.4907;Controllers;8;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-2.3895;Trial Accepted;TaskEvent;872;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0194;-0.0073;-0.0075;354.5047;359.0570;0.3617;NULL;-0.0239;0.0532;2.0000;-0.0239;0.0532;2.0000;NULL;NULL;0.3786;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2284;196.4694;0;NULL;1.1557;0.0532;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0340;-0.0996;0.5842;356.0076;358.5247;6.9672;0.0313;-0.1018;0.5755;355.9106;358.0166;7.0918;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4658;2026-03-23 14:00:39.9565;Controllers;9;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.4500;Trial Accepted;TaskEvent;944;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0207;-0.0078;-0.0067;354.6125;359.5666;0.3930;NULL;0.0245;-0.0721;2.0000;0.0245;-0.0721;2.0000;NULL;NULL;0.3786;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7331;78.2283;196.4695;0;NULL;1.2490;-0.0721;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0361;-0.0993;0.5843;355.8656;359.0388;7.2088;0.0399;-0.0987;0.5763;355.3095;359.0017;7.4526;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.6082;2026-03-23 14:00:40.5647;Controllers;10;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;6.0993;Trial Accepted;TaskEvent;997;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0209;-0.0073;-0.0068;354.3148;359.6179;0.3971;NULL;0.0610;-0.0278;2.0000;0.0610;-0.0278;2.0000;NULL;NULL;0.3786;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2284;196.4694;0;NULL;1.0285;-0.0278;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0373;-0.0981;0.5840;355.6427;359.0154;7.2809;0.0416;-0.0981;0.5773;355.4206;359.8059;6.6941;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4413;2026-03-23 14:00:41.0060;Controllers;11;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.4699;Trial Accepted;TaskEvent;1075;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0216;-0.0078;-0.0062;354.5294;359.6693;0.0334;NULL;0.0147;0.0641;2.0000;0.0147;0.0641;2.0000;NULL;NULL;0.3786;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2272;196.4688;0;NULL;1.0665;0.0641;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0370;-0.1005;0.5853;356.1678;358.4587;7.4302;0.0317;-0.1033;0.5785;355.8835;358.0259;8.0274;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.6499;2026-03-23 14:00:41.6559;Controllers;12;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-2.0182;Trial Accepted;TaskEvent;1127;348e8bc2-c5aa-44c1-9962-617137670018;NULL;0.0220;-0.0085;-0.0053;354.9435;359.7605;0.1612;NULL;-0.0202;-0.0814;2.0000;-0.0202;-0.0814;2.0000;NULL;NULL;0.3786;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7329;78.2282;196.4695;0;NULL;1.0863;-0.0814;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0376;-0.1004;0.5860;355.9989;358.7314;7.4737;0.0358;-0.0962;0.5775;355.3199;358.4413;7.2684;1;NULL;NULL;d6f36068-f840-462d-817f-e13ce90fd0f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4332;2026-03-23 14:00:42.0891;Controllers;13;20;OpenXR
