ActiveHand;ConfirmDown;EffectMode;Email;Event;Framecount;HandDwellProgress01;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HmdPosX;HmdPosY;HmdPosZ;HmdRotW;HmdRotX;HmdRotY;HmdRotZ;IsHandPointing;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;PointerForwardX;PointerForwardY;PointerForwardZ;PointerOriginX;PointerOriginY;PointerOriginZ;PointerRotationW;PointerRotationX;PointerRotationY;PointerRotationZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;SessionID;TaskMode;Timestamp;TrackingMode;XRBackend
Right;0;None;anonymous;Sample;0;0.0000;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;0.0000;0.3614;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0023;-0.0062;-0.0013;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0020;0.0045;0.0014;1.0000;0.0000;0.0000;0.0000;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0054;-0.0004;-0.0036;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.2530;Controllers;OpenXR
Right;0;None;anonymous;Sample;1;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0005;-0.0019;-0.0011;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0047;0.0021;-0.0019;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0027;0.0002;0.0018;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.2730;Controllers;OpenXR
Right;0;None;anonymous;Sample;2;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0013;-0.0027;0.0028;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0047;-0.0002;-0.0049;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0032;-0.0018;0.0043;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.2930;Controllers;OpenXR
Right;0;None;anonymous;Sample;3;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0011;0.0014;-0.0053;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0004;-0.0030;0.0030;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0010;0.0007;-0.0024;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.3130;Controllers;OpenXR
Right;0;None;anonymous;Sample;4;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0077;-0.0054;0.0023;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0044;-0.0017;0.0029;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0051;0.0043;-0.0048;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.3330;Controllers;OpenXR
Right;0;None;anonymous;Sample;5;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0011;0.0027;0.0001;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0016;0.0018;-0.0007;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0038;-0.0012;0.0049;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.3530;Controllers;OpenXR
Right;0;None;anonymous;Sample;6;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0040;0.0056;-0.0052;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0043;-0.0003;-0.0022;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0020;-0.0010;-0.0022;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.3730;Controllers;OpenXR
Right;0;None;anonymous;Sample;7;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0066;-0.0040;0.0038;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0064;0.0021;0.0021;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;0.0029;0.0006;-0.0002;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.3930;Controllers;OpenXR
Right;0;None;anonymous;Sample;8;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0036;0.0017;0.0006;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;-0.0013;-0.0031;0.0030;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0008;-0.0043;-0.0010;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.4130;Controllers;OpenXR
Right;0;None;anonymous;Sample;9;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0006;0.0047;-0.0003;0.0000;0.0000;0.0000;0;0.0000;0.0000;1.0000;0.0026;0.0022;0.0030;1.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0075;0.0000;0.0000;0.0000;-0.0024;-0.0028;-0.0013;0.0000;0.0000;0.0000;0;d6f36068-f840-462d-817f-e13ce90fd0f8;LineBisection;2026-03-23 14:00:32.4330;Controllers;OpenXR
