Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:44.4340;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:44.4540;Controllers;NULL;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-0.3669;Trial Accepted;TaskEvent;405;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0187;-0.0080;-0.0029;354.9917;0.2350;0.3781;NULL;-0.0037;-0.0389;2.0000;-0.0037;-0.0389;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8425;78.1344;196.5659;0.3736;-0.4632;0.5746;45.7334;78.2284;196.4697;0;NULL;1.1340;-0.0389;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0844;0.5898;354.3407;0.2954;4.4210;0.0485;-0.0891;0.5834;354.2381;0.7887;4.9496;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;3.7762;2026-03-23 14:00:48.2302;Controllers;1;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.5578;Trial Accepted;TaskEvent;467;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0177;-0.0085;-0.0031;355.1989;359.5858;0.5232;NULL;0.0056;0.0861;2.0000;0.0056;0.0861;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2276;196.4690;0;NULL;1.1000;0.0861;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0865;0.5889;354.3403;359.7734;5.2159;0.0373;-0.0873;0.5788;354.2239;358.9973;5.4840;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5161;2026-03-23 14:00:48.7463;Controllers;2;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.2086;Trial Accepted;TaskEvent;536;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0173;-0.0089;-0.0047;355.1263;359.0803;0.6849;NULL;-0.0121;0.0805;2.0000;-0.0121;0.0805;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2273;196.4686;0;NULL;1.0336;0.0805;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0345;-0.0917;0.5870;355.1887;358.4530;5.8364;0.0304;-0.0982;0.5799;355.4274;358.9215;6.2159;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5751;2026-03-23 14:00:49.3214;Controllers;3;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-0.0241;Trial Accepted;TaskEvent;597;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0187;-0.0091;-0.0046;355.2587;359.3552;0.8099;NULL;-0.0002;-0.0242;2.0000;-0.0002;-0.0242;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7323;78.2282;196.4694;0;NULL;1.0493;-0.0242;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0382;-0.0962;0.5878;355.8273;359.4647;5.8434;0.0395;-0.1013;0.5807;356.1451;359.7072;6.1796;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5079;2026-03-23 14:00:49.8293;Controllers;4;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.6561;Trial Accepted;TaskEvent;657;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0176;-0.0082;-0.0048;355.1484;359.0270;0.7889;NULL;0.0066;0.0822;2.0000;0.0066;0.0822;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7325;78.2275;196.4692;0;NULL;1.2350;0.0822;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0372;-0.0974;0.5876;355.8876;359.1807;6.3946;0.0335;-0.0975;0.5785;355.5598;359.0699;7.2350;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5167;2026-03-23 14:00:50.3460;Controllers;5;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.4158;Trial Accepted;TaskEvent;712;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0186;-0.0074;-0.0065;354.6440;359.2399;0.6369;NULL;0.0242;0.0733;2.0000;0.0242;0.0733;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7329;78.2275;196.4694;0;NULL;1.1285;0.0733;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0384;-0.0976;0.5875;355.9677;359.4639;6.4156;0.0389;-0.1013;0.5794;355.4902;359.8631;6.6916;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4584;2026-03-23 14:00:50.8044;Controllers;6;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.1234;Trial Accepted;TaskEvent;769;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0199;-0.0077;-0.0081;354.6854;358.8173;0.1850;NULL;0.0212;0.0298;2.0000;0.0212;0.0298;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2284;196.4694;0;NULL;1.1093;0.0298;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0381;-0.0988;0.5864;356.0388;358.3768;6.4165;0.0334;-0.1006;0.5760;355.5923;358.4721;7.5860;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4749;2026-03-23 14:00:51.2793;Controllers;7;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.6637;Trial Accepted;TaskEvent;816;5dc860d9-9d77-4915-87c6-6d68399bcc49;NULL;0.0202;-0.0078;-0.0079;354.6247;359.2767;0.2895;NULL;0.0066;0.0271;2.0000;0.0066;0.0271;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2278;196.4690;0;NULL;1.1836;0.0271;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0392;-0.0986;0.5856;355.8955;359.4133;6.7544;0.0413;-0.0991;0.5767;355.8862;0.4327;6.5429;1;NULL;NULL;6b95bea7-ff14-4595-9e09-c42f3d7b227d;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.3924;2026-03-23 14:00:51.6717;Controllers;8;20;OpenXR
