Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:52.1716;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;0.0075;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:52.1916;Controllers;NULL;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.2722;Trial Accepted;TaskEvent;405;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0187;-0.0080;-0.0029;354.9917;0.2350;0.3781;NULL;0.0027;0.0058;2.0000;0.0027;0.0058;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8425;78.1344;196.5659;0.3736;-0.4632;0.5746;45.7334;78.2284;196.4697;0;NULL;1.1683;0.0058;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0844;0.5898;354.3407;0.2954;4.4210;0.0485;-0.0891;0.5834;354.2381;0.7887;4.9496;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;3.7762;2026-03-23 14:00:55.9678;Controllers;1;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-0.4402;Trial Accepted;TaskEvent;467;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0177;-0.0085;-0.0031;355.1989;359.5858;0.5232;NULL;-0.0044;-0.0440;2.0000;-0.0044;-0.0440;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2276;196.4690;0;NULL;1.2022;-0.0440;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0430;-0.0865;0.5889;354.3403;359.7734;5.2159;0.0373;-0.0873;0.5788;354.2239;358.9973;5.4840;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5161;2026-03-23 14:00:56.4839;Controllers;2;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.0230;Trial Accepted;TaskEvent;536;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0173;-0.0089;-0.0047;355.1263;359.0803;0.6849;NULL;-0.0102;-0.0846;2.0000;-0.0102;-0.0846;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7330;78.2273;196.4686;0;NULL;1.2499;-0.0846;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0345;-0.0917;0.5870;355.1887;358.4530;5.8364;0.0304;-0.0982;0.5799;355.4274;358.9215;6.2159;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5751;2026-03-23 14:00:57.0590;Controllers;3;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.3373;Trial Accepted;TaskEvent;597;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0187;-0.0091;-0.0046;355.2587;359.3552;0.8099;NULL;0.0134;-0.0356;2.0000;0.0134;-0.0356;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7323;78.2282;196.4694;0;NULL;1.1695;-0.0356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0382;-0.0962;0.5878;355.8273;359.4647;5.8434;0.0395;-0.1013;0.5807;356.1451;359.7072;6.1796;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5079;2026-03-23 14:00:57.5669;Controllers;4;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.8541;Trial Accepted;TaskEvent;657;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0176;-0.0082;-0.0048;355.1484;359.0270;0.7889;NULL;0.0085;-0.0057;2.0000;0.0085;-0.0057;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7325;78.2275;196.4692;0;NULL;1.1877;-0.0057;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0372;-0.0974;0.5876;355.8876;359.1807;6.3946;0.0335;-0.0975;0.5785;355.5598;359.0699;7.2350;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.5167;2026-03-23 14:00:58.0836;Controllers;5;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.7511;Trial Accepted;TaskEvent;712;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0186;-0.0074;-0.0065;354.6440;359.2399;0.6369;NULL;0.0075;0.0336;2.0000;0.0075;0.0336;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7329;78.2275;196.4694;0;NULL;1.0937;0.0336;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0384;-0.0976;0.5875;355.9677;359.4639;6.4156;0.0389;-0.1013;0.5794;355.4902;359.8631;6.6916;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4584;2026-03-23 14:00:58.5420;Controllers;6;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.2503;Trial Accepted;TaskEvent;769;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0199;-0.0077;-0.0081;354.6854;358.8173;0.1850;NULL;0.0125;-0.0007;2.0000;0.0125;-0.0007;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2284;196.4694;0;NULL;1.1619;-0.0007;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0381;-0.0988;0.5864;356.0388;358.3768;6.4165;0.0334;-0.1006;0.5760;355.5923;358.4721;7.5860;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.4749;2026-03-23 14:00:59.0169;Controllers;7;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.6328;Trial Accepted;TaskEvent;816;d5ca1791-2d4b-4ec4-be2a-445c2590c375;NULL;0.0202;-0.0078;-0.0079;354.6247;359.2767;0.2895;NULL;0.0063;-0.0698;2.0000;0.0063;-0.0698;2.0000;NULL;NULL;0.3785;-0.4687;0.5757;45.8182;78.1551;196.5444;0.3736;-0.4632;0.5746;45.7332;78.2278;196.4690;0;NULL;1.0819;-0.0698;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0392;-0.0986;0.5856;355.8955;359.4133;6.7544;0.0413;-0.0991;0.5767;355.8862;0.4327;6.5429;1;NULL;NULL;c179b7e6-3146-4290-ada5-a5fffd40750b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.3924;2026-03-23 14:00:59.4093;Controllers;8;20;OpenXR
