Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:22.2819;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;0.0000;2026-03-23 14:00:22.3019;Hands;NULL;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;2.0475;Trial Accepted;TaskEvent;1353;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0532;0.0001;-0.0172;355.8873;0.3485;0.7832;NULL;0.0205;-0.0431;2.0000;0.0205;-0.0431;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0634;-0.0431;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;11.4836;2026-03-23 14:00:33.7855;Hands;1;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.7030;Trial Accepted;TaskEvent;1695;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0542;-0.0001;-0.0182;355.8714;359.4594;0.8326;NULL;-0.0170;0.0217;2.0000;-0.0170;0.0217;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1391;0.0217;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.8494;2026-03-23 14:00:36.6349;Hands;2;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.9352;Trial Accepted;TaskEvent;2041;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0531;-0.0030;-0.0176;358.4167;357.9905;0.5976;NULL;0.0094;-0.0690;2.0000;0.0094;-0.0690;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1414;-0.0690;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.8827;2026-03-23 14:00:39.5176;Hands;3;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.4230;Trial Accepted;TaskEvent;2397;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0535;-0.0021;-0.0196;356.9679;359.4319;0.7647;NULL;0.0042;0.0561;2.0000;0.0042;0.0561;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.2104;0.0561;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.9659;2026-03-23 14:00:42.4835;Hands;4;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.7981;Trial Accepted;TaskEvent;2733;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0501;-0.0021;-0.0210;356.5775;359.8806;0.1162;NULL;0.0080;-0.0595;2.0000;0.0080;-0.0595;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.2013;-0.0595;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.7995;2026-03-23 14:00:45.2830;Hands;5;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;3.9636;Trial Accepted;TaskEvent;3074;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0490;-0.0013;-0.0206;355.8210;0.2115;359.7901;NULL;0.0396;0.0405;2.0000;0.0396;0.0405;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.2044;0.0405;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.8405;2026-03-23 14:00:48.1235;Hands;6;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.4278;Trial Accepted;TaskEvent;3429;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0481;-0.0013;-0.0195;355.7786;0.3891;359.5581;NULL;-0.0143;0.0060;2.0000;-0.0143;0.0060;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0633;0.0060;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.9576;2026-03-23 14:00:51.0811;Hands;7;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.6805;Trial Accepted;TaskEvent;3775;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0458;-0.0003;-0.0246;354.7341;0.7155;359.1446;NULL;0.0168;0.0393;2.0000;0.0168;0.0393;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.2274;0.0393;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.8831;2026-03-23 14:00:53.9642;Hands;8;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.3958;Trial Accepted;TaskEvent;4126;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0464;-0.0013;-0.0239;355.2200;0.7770;359.4331;NULL;0.0040;-0.0370;2.0000;0.0040;-0.0370;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.2179;-0.0370;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.9237;2026-03-23 14:00:56.8879;Hands;9;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.6174;Trial Accepted;TaskEvent;4428;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0463;-0.0008;-0.0228;354.9599;0.6177;359.3460;NULL;0.0162;0.0850;2.0000;0.0162;0.0850;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0501;0.0850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.5160;2026-03-23 14:00:59.4039;Hands;10;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-0.3333;Trial Accepted;TaskEvent;4759;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0471;-0.0011;-0.0224;355.1117;0.5498;359.6598;NULL;-0.0033;-0.0212;2.0000;-0.0033;-0.0212;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1256;-0.0212;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.7576;2026-03-23 14:01:02.1615;Hands;11;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.4465;Trial Accepted;TaskEvent;5067;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0463;-0.0013;-0.0221;355.1689;0.6706;359.5020;NULL;-0.0145;0.0350;2.0000;-0.0145;0.0350;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0637;0.0350;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.5661;2026-03-23 14:01:04.7276;Hands;12;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;0.2933;Trial Accepted;TaskEvent;5396;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0461;-0.0012;-0.0224;354.9029;0.6145;359.5777;NULL;0.0029;0.0043;2.0000;0.0029;0.0043;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1639;0.0043;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.7410;2026-03-23 14:01:07.4686;Hands;13;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;-1.2702;Trial Accepted;TaskEvent;5734;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0479;-0.0008;-0.0210;355.0103;0.5103;0.0907;NULL;-0.0127;-0.0062;2.0000;-0.0127;-0.0062;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1489;-0.0062;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.8158;2026-03-23 14:01:10.2844;Hands;14;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;5.3041;Trial Accepted;TaskEvent;6049;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0471;-0.0002;-0.0197;354.6067;0.0225;359.4748;NULL;0.0530;0.0907;2.0000;0.0530;0.0907;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0031;0.0907;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.6244;2026-03-23 14:01:12.9088;Hands;15;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.9288;Trial Accepted;TaskEvent;6377;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0479;0.0011;-0.0231;353.4023;0.9810;0.0164;NULL;0.0193;0.0356;2.0000;0.0193;0.0356;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1054;0.0356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.7328;2026-03-23 14:01:15.6416;Hands;16;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;8.0707;Trial Accepted;TaskEvent;6692;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0491;0.0002;-0.0226;353.8130;359.8898;359.6880;NULL;0.0807;0.0086;2.0000;0.0807;0.0086;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.0096;0.0086;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.6242;2026-03-23 14:01:18.2658;Hands;17;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;1.9114;Trial Accepted;TaskEvent;7016;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0494;-0.0012;-0.0213;355.0049;359.1723;0.0991;NULL;0.0191;0.0280;2.0000;0.0191;0.0280;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1410;0.0280;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.6992;2026-03-23 14:01:20.9650;Hands;18;20;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;3.3316;Trial Accepted;TaskEvent;7351;64496287-a3fa-496e-91ff-9fa027dbc19a;NULL;-0.0508;-0.0019;-0.0149;355.9987;359.8458;0.6142;NULL;0.0333;-0.0332;2.0000;0.0333;-0.0332;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;1.1700;-0.0332;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a9fc097d-4551-4b0c-8c88-067f10679d1a;NULL;NULL;NULL;NULL;NULL;NULL;NULL;LineBisection;2.7910;2026-03-23 14:01:23.7560;Hands;19;20;OpenXR
