ActiveHand;ConfirmDown;EffectMode;Email;Event;Framecount;HandDwellProgress01;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HmdPosX;HmdPosY;HmdPosZ;HmdRotW;HmdRotX;HmdRotY;HmdRotZ;IsHandPointing;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;PointerForwardX;PointerForwardY;PointerForwardZ;PointerOriginX;PointerOriginY;PointerOriginZ;PointerRotationW;PointerRotationX;PointerRotationY;PointerRotationZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;SessionID;TaskMode;Timestamp;TrackingMode;XRBackend
Right;0;None;anonymous;Sample;0;0.0000;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;0.0000;0.3614;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0052;-0.0001;0.0003;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.3899;Hands;OpenXR
Right;0;None;anonymous;Sample;1;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0011;-0.0017;0.0035;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.4099;Hands;OpenXR
Right;0;None;anonymous;Sample;2;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0008;-0.0006;-0.0011;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.4299;Hands;OpenXR
Right;0;None;anonymous;Sample;3;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;0.0015;-0.0057;0.0015;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.4499;Hands;OpenXR
Right;0;None;anonymous;Sample;4;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0039;-0.0025;0.0003;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.4699;Hands;OpenXR
Right;0;None;anonymous;Sample;5;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0031;-0.0004;-0.0016;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.4899;Hands;OpenXR
Right;0;None;anonymous;Sample;6;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;-0.0006;-0.0020;0.0002;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.5099;Hands;OpenXR
Right;0;None;anonymous;Sample;7;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;0.0027;0.0045;-0.0014;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.5299;Hands;OpenXR
Right;0;None;anonymous;Sample;8;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;0.0037;-0.0050;-0.0019;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.5499;Hands;OpenXR
Right;0;None;anonymous;Sample;9;0.0000;0.0000;-1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0;;;;;;;;;;;;;0;0.0000;0.0000;1.0000;0.0010;-0.0009;0.0013;1.0000;0.0000;0.0000;0.0000;;;;;;;;;;;;;0;a0248bde-ee32-4aa5-9f6c-20b160393164;OpenLoop;2026-03-23 13:59:18.5699;Hands;OpenXR
