Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 13:59:34.5861;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 13:59:34.6061;Hands;NULL;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1353;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0532;0.0001;-0.0172;355.8873;0.3485;0.7832;NULL;0.0233;0.0000;2.0000;0.0233;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;2.3266;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;11.4836;2026-03-23 13:59:46.0897;Hands;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1695;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0542;-0.0001;-0.0182;355.8714;359.4594;0.8326;NULL;-0.0224;0.0000;2.0000;-0.0224;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;-2.2435;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8494;2026-03-23 13:59:48.9391;Hands;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2041;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0531;-0.0030;-0.0176;358.4167;357.9905;0.5976;NULL;-0.0544;0.0000;2.0000;-0.0544;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;-5.4411;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8827;2026-03-23 13:59:51.8218;Hands;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2397;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0535;-0.0021;-0.0196;356.9679;359.4319;0.7647;NULL;0.0262;0.0000;2.0000;0.0262;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;2.6181;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9659;2026-03-23 13:59:54.7877;Hands;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2733;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0501;-0.0021;-0.0210;356.5775;359.8806;0.1162;NULL;-0.0718;0.0000;2.0000;-0.0718;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;-7.1770;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.7995;2026-03-23 13:59:57.5872;Hands;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3074;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0490;-0.0013;-0.0206;355.8210;0.2115;359.7901;NULL;0.0608;0.0000;2.0000;0.0608;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;6.0812;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8405;2026-03-23 14:00:00.4277;Hands;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3429;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0481;-0.0013;-0.0195;355.7786;0.3891;359.5581;NULL;0.0029;0.0000;2.0000;0.0029;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;0.2942;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9576;2026-03-23 14:00:03.3853;Hands;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3775;695fba01-0698-4a37-a2d3-5d6f4dc1673b;NULL;-0.0458;-0.0003;-0.0246;354.7341;0.7155;359.1446;NULL;0.0865;0.0000;2.0000;0.0865;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;a7e82b4e-7af0-436f-bdb3-cb761c29dc67;8.6512;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8831;2026-03-23 14:00:06.2684;Hands;8;30;OpenXR
