Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;ConfirmMitigationMode;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;ExperimentMode;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LeftMovementAnchorPosWorldX;LeftMovementAnchorPosWorldY;LeftMovementAnchorPosWorldZ;LeftMovementAnchorRotEulerX;LeftMovementAnchorRotEulerY;LeftMovementAnchorRotEulerZ;LeftMovementAnchorSource;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;RightMovementAnchorPosWorldX;RightMovementAnchorPosWorldY;RightMovementAnchorPosWorldZ;RightMovementAnchorRotEulerX;RightMovementAnchorRotEulerY;RightMovementAnchorRotEulerZ;RightMovementAnchorSource;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;StudyGlobalParticipantId;StudyInputMode;StudyParticipantIndex;StudyResolvedEffect;StudyResolvedTask;StudySessionIndex;StudyTaskOrder;SuccessCount;TargetIndex;TargetRadiusMeters;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;Debug;1;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-25 13:54:14.3024;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;Debug;1;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-05-25 13:54:14.3051;Controllers;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Debug;1;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0000;0.3614;-0.5530;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0000;0.3614;-0.5455;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0;NULL;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-25 13:54:14.3091;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Debug;333;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0079;-0.0018;0.0083;2.8946;1.1636;357.4165;NULL;NULL;NULL;NULL;-0.0903;0.0000;2.0000;NULL;NULL;-0.2844;-0.8239;0.0917;68.3454;314.6570;323.3446;-0.2757;-0.8153;0.0918;68.2578;320.7376;328.4927;1;NULL;-0.2757;-0.8153;0.0918;68.2578;320.7376;328.4927;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0117;-0.0830;0.5826;359.6740;355.8843;1.4381;0.0095;-0.0696;0.5721;358.1273;355.7723;1.9980;0;NULL;0.0095;-0.0696;0.5721;358.1273;355.7723;1.9980;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;-9.0304;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;5.9644;2026-05-25 13:54:23.1534;Controllers;1;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Debug;333;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0079;-0.0018;0.0083;2.8946;1.1636;357.4165;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2844;-0.8239;0.0917;68.3454;314.6570;323.3446;-0.2757;-0.8153;0.0918;68.2578;320.7376;328.4927;1;NULL;-0.2757;-0.8153;0.0918;68.2578;320.7376;328.4927;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.0117;-0.0830;0.5826;359.6740;355.8843;1.4381;0.0095;-0.0696;0.5721;358.1273;355.7723;1.9980;0;NULL;0.0095;-0.0696;0.5721;358.1273;355.7723;1.9980;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-25 13:54:23.1565;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Debug;403;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0105;0.0048;0.0159;359.3065;359.2903;358.4330;NULL;NULL;NULL;NULL;-0.2461;0.0000;2.0000;NULL;NULL;-0.2837;-0.8259;0.0782;69.7631;310.6587;319.8224;-0.2867;-0.8113;0.0832;68.7653;313.9531;323.2814;1;NULL;-0.2867;-0.8113;0.0832;68.7653;313.9531;323.2814;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0006;-0.0339;0.5492;353.8539;350.3960;9.4027;-0.0104;-0.0333;0.5602;354.7834;350.9065;11.2626;0;NULL;-0.0104;-0.0333;0.5602;354.7834;350.9065;11.2626;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;-24.6090;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.3670;2026-05-25 13:54:24.5137;Controllers;2;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Debug;403;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0105;0.0048;0.0159;359.3065;359.2903;358.4330;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2837;-0.8259;0.0782;69.7631;310.6587;319.8224;-0.2867;-0.8113;0.0832;68.7653;313.9531;323.2814;1;NULL;-0.2867;-0.8113;0.0832;68.7653;313.9531;323.2814;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0006;-0.0339;0.5492;353.8539;350.3960;9.4027;-0.0104;-0.0333;0.5602;354.7834;350.9065;11.2626;0;NULL;-0.0104;-0.0333;0.5602;354.7834;350.9065;11.2626;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-25 13:54:24.5168;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Debug;501;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0064;0.0006;0.0027;359.9907;0.4377;358.5789;NULL;NULL;NULL;NULL;-0.1959;0.0000;2.0000;NULL;NULL;-0.2868;-0.8237;0.0976;69.8084;318.3742;326.4587;-0.2827;-0.8173;0.0907;70.3886;324.5264;332.0755;1;NULL;-0.2827;-0.8173;0.0907;70.3886;324.5264;332.0755;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0044;0.0141;0.5628;351.4343;352.4074;3.5351;-0.0076;0.0219;0.5535;350.7387;352.5541;4.6956;0;NULL;-0.0076;0.0219;0.5535;350.7387;352.5541;4.6956;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;-19.5935;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.6779;2026-05-25 13:54:26.1920;Controllers;3;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Started;TaskEvent;Debug;501;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0064;0.0006;0.0027;359.9907;0.4377;358.5789;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.2868;-0.8237;0.0976;69.8084;318.3742;326.4587;-0.2827;-0.8173;0.0907;70.3886;324.5264;332.0755;1;NULL;-0.2827;-0.8173;0.0907;70.3886;324.5264;332.0755;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0044;0.0141;0.5628;351.4343;352.4074;3.5351;-0.0076;0.0219;0.5535;350.7387;352.5541;4.6956;0;NULL;-0.0076;0.0219;0.5535;350.7387;352.5541;4.6956;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;NULL;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;0.0300;0.0000;0.0000;2.0000;OpenLoop;0.0000;2026-05-25 13:54:26.1948;Controllers;4;10;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;OppositeHandTrigger;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;Debug;602;0e220dd9-09f7-4473-bcda-acf277e68b54;NULL;0.0013;-0.0016;-0.0075;0.7516;1.2864;359.2551;NULL;NULL;NULL;NULL;-0.1745;0.0000;2.0000;NULL;NULL;-0.2846;-0.8262;0.0994;69.8953;320.5851;329.4399;-0.2798;-0.8178;0.0958;69.7116;323.4141;332.4782;1;NULL;-0.2798;-0.8178;0.0958;69.7116;323.4141;332.4782;ControllerBody;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;-0.0030;0.0044;0.5616;356.0490;353.2008;1.6705;-0.0082;0.0086;0.5549;355.9679;353.1207;1.7715;0;NULL;-0.0082;0.0086;0.5549;355.9679;353.1207;1.7715;ControllerBody;NULL;c695270d-b11f-410e-bcd0-df2fe05129b0;-17.4455;NULL;;Controller;;Translation;OpenLoop;;Manual;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;1.7348;2026-05-25 13:54:27.9277;Controllers;4;10;OpenXR
