Accuracy01;ActiveHand;AfterEffectCm;AttemptIndex;BlockType;ChoiceSide;CurrentMoleToHitId;CurrentMoleToHitIndexX;CurrentMoleToHitIndexY;CurrentMoleToHitPositionLocalX;CurrentMoleToHitPositionLocalY;CurrentMoleToHitPositionLocalZ;CurrentMoleToHitPositionWorldX;CurrentMoleToHitPositionWorldY;CurrentMoleToHitPositionWorldZ;DeltaAccuracyPct;EffectMode;Email;ErrorCm;Event;EventType;Framecount;GameId;GapMeters;HeadCameraPosWorldX;HeadCameraPosWorldY;HeadCameraPosWorldZ;HeadCameraRotEulerX;HeadCameraRotEulerY;HeadCameraRotEulerZ;HitDistanceMeters;HitPositionWorldX;HitPositionWorldY;HitPositionWorldZ;HitWorldX;HitWorldY;HitWorldZ;IsCorrect;IsHit;LeftControllerLaserPosWorldX;LeftControllerLaserPosWorldY;LeftControllerLaserPosWorldZ;LeftControllerLaserRotEulerX;LeftControllerLaserRotEulerY;LeftControllerLaserRotEulerZ;LeftControllerPosWorldX;LeftControllerPosWorldY;LeftControllerPosWorldZ;LeftControllerRotEulerX;LeftControllerRotEulerY;LeftControllerRotEulerZ;LeftControllerTrigger;LeftLengthMeters;LineLengthMeters;LineZMeters;LongerSide;MeanCm;MoleId;MoleIndexX;MoleIndexY;MolePositionLocalX;MolePositionLocalY;MolePositionLocalZ;MolePositionWorldX;MolePositionWorldY;MolePositionWorldZ;RightControllerLaserPosWorldX;RightControllerLaserPosWorldY;RightControllerLaserPosWorldZ;RightControllerLaserRotEulerX;RightControllerLaserRotEulerY;RightControllerLaserRotEulerZ;RightControllerPosWorldX;RightControllerPosWorldY;RightControllerPosWorldZ;RightControllerRotEulerX;RightControllerRotEulerY;RightControllerRotEulerZ;RightControllerTrigger;RightLengthMeters;SdCm;SessionID;SignedOffsetCm;SourceTaskMode;SuccessCount;TargetIndex;TargetWorldX;TargetWorldY;TargetWorldZ;TaskMode;TimeSinceLastEvent;Timestamp;TrackingMode;TrialIndex;TrialsPerBlock;XRBackend
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Game Started;GameEvent;1;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 10:17:27.0912;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Block Started;BlockEvent;1;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;0.0000;0.3614;0.0000;0.0000;0.0000;0.0000;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;0.0000;2026-03-23 10:17:27.0912;Hands;NULL;NULL;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1353;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0532;0.0001;-0.0172;355.8873;0.3485;0.7832;NULL;NULL;NULL;NULL;0.0379;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;3.7930;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;11.4836;2026-03-23 10:17:40.2508;Hands;1;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;1695;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0542;-0.0001;-0.0182;355.8714;359.4594;0.8326;NULL;NULL;NULL;NULL;0.0339;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;3.3862;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8494;2026-03-23 10:17:43.0997;Hands;2;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2041;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0531;-0.0030;-0.0176;358.4167;357.9905;0.5976;NULL;NULL;NULL;NULL;0.0182;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;1.8187;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8827;2026-03-23 10:17:45.9832;Hands;3;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2397;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0535;-0.0021;-0.0196;356.9679;359.4319;0.7647;NULL;NULL;NULL;NULL;-0.0025;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;-0.2488;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9659;2026-03-23 10:17:48.9496;Hands;4;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;2733;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0501;-0.0021;-0.0210;356.5775;359.8806;0.1162;NULL;NULL;NULL;NULL;0.0396;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;3.9559;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.7995;2026-03-23 10:17:51.7486;Hands;5;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3074;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0490;-0.0013;-0.0206;355.8210;0.2115;359.7901;NULL;NULL;NULL;NULL;0.0396;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;3.9637;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8405;2026-03-23 10:17:54.5887;Hands;6;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3429;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0481;-0.0013;-0.0195;355.7786;0.3891;359.5581;NULL;NULL;NULL;NULL;0.0214;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;2.1351;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.9576;2026-03-23 10:17:57.5457;Hands;7;30;OpenXR
NULL;Right;NULL;NULL;Baseline;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;None;anonymous;NULL;Trial Accepted;TaskEvent;3775;8e96f6fd-7394-47d7-8c13-f7a73e038f99;NULL;-0.0458;-0.0003;-0.0246;354.7341;0.7155;359.1446;NULL;NULL;NULL;NULL;0.0060;0.0000;2.0000;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;;;;;;;;;;;;;0;NULL;NULL;b94e1c51-da03-41cc-87eb-ba03d105904b;0.5969;NULL;NULL;NULL;NULL;NULL;NULL;OpenLoop;2.8831;2026-03-23 10:18:00.4308;Hands;8;30;OpenXR
