Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp,activeCube Cube
-1,1,-2,0,-31,-1,-34,-2,2025-02-24 12:31:42.780,2.0
-18,-3,-2,-1,-31,-2,1,-6,2025-02-24 12:31:42.787,2.0
-18,-3,-2,-1,-31,-2,1,-6,2025-02-24 12:31:42.799,2.0
2,0,-3,1,-32,1,0,1,2025-02-24 12:31:42.812,2.0
7,2,-1,-2,-32,-2,-2,1,2025-02-24 12:31:42.821,2.0
2,-4,-1,-2,-33,-2,1,-2,2025-02-24 12:31:42.832,2.0
6,-1,-1,-2,-33,-3,-2,2,2025-02-24 12:31:42.844,2.0
3,-1,-2,-2,-37,-4,3,-1,2025-02-24 12:31:42.856,2.0
-6,0,2,-1,-39,-3,-2,-6,2025-02-24 12:31:42.867,2.0
-9,-3,-2,0,-11,0,17,-1,2025-02-24 12:31:42.878,2.0
1,1,3,-3,-7,-1,5,2,2025-02-24 12:31:42.889,2.0
1,1,3,-3,-7,-1,5,2,2025-02-24 12:31:42.900,2.0
0,2,-2,6,0,1,-6,0,2025-02-24 12:31:42.911,2.0
0,2,-2,6,0,1,-6,0,2025-02-24 12:31:42.923,2.0
-15,-1,0,-4,-7,-4,-12,-4,2025-02-24 12:31:42.933,2.0
-15,-1,0,-4,-7,-4,-12,-4,2025-02-24 12:31:42.947,2.0
-11,-2,1,1,0,1,-11,-1,2025-02-24 12:31:42.956,2.0
-11,-2,1,1,0,1,-11,-1,2025-02-24 12:31:42.966,2.0
6,0,-3,-3,-37,-1,1,3,2025-02-24 12:31:42.978,2.0
-1,-1,0,-2,-36,-1,7,-1,2025-02-24 12:31:42.989,2.0
12,-1,-1,-3,-27,-1,6,-3,2025-02-24 12:31:43.000,2.0
-13,-1,-1,-1,-19,-3,4,-3,2025-02-24 12:31:43.011,2.0
-13,-1,-1,-1,-19,-3,4,-3,2025-02-24 12:31:43.023,2.0
4,-2,-1,-3,-19,-1,-3,-1,2025-02-24 12:31:43.034,2.0
-1,4,0,3,-20,-2,0,1,2025-02-24 12:31:43.045,2.0
-21,-10,-3,-1,-22,0,-8,-6,2025-02-24 12:31:43.057,2.0
4,0,0,-4,-30,-3,-6,1,2025-02-24 12:31:43.068,2.0
8,2,-1,-1,-27,-1,3,-3,2025-02-24 12:31:43.079,2.0
8,2,-1,-1,-27,-1,3,-3,2025-02-24 12:31:43.090,2.0
10,-1,-1,-1,-26,-1,-2,2,2025-02-24 12:31:43.101,2.0
3,3,0,-1,-19,-1,-7,0,2025-02-24 12:31:43.113,2.0
3,3,0,-1,-19,-1,-7,0,2025-02-24 12:31:43.123,2.0
4,-2,1,3,-15,-1,10,1,2025-02-24 12:31:43.134,2.0
4,-2,1,3,-15,-1,10,1,2025-02-24 12:31:43.146,2.0
4,1,1,-1,-17,3,-8,2,2025-02-24 12:31:43.157,2.0
6,0,-3,-1,-12,-1,-6,-3,2025-02-24 12:31:43.168,2.0
11,1,1,0,-9,0,-2,2,2025-02-24 12:31:43.179,2.0
11,1,1,0,-9,0,-2,2,2025-02-24 12:31:43.191,2.0
-5,-1,-1,-2,-17,-4,0,-7,2025-02-24 12:31:43.202,2.0
0,0,-1,-4,-18,-1,-32,0,2025-02-24 12:31:43.213,2.0
-5,-1,-2,-2,-19,-2,-4,-2,2025-02-24 12:31:43.224,2.0
1,-2,-3,-2,-18,0,11,2,2025-02-24 12:31:43.235,2.0
1,-2,-3,-2,-18,0,11,2,2025-02-24 12:31:43.246,2.0
-5,-1,-2,-1,-18,2,38,2,2025-02-24 12:31:43.258,2.0
-5,-1,-2,-1,-18,2,38,2,2025-02-24 12:31:43.269,2.0
2,-5,-1,-3,-21,1,1,-5,2025-02-24 12:31:43.280,2.0
7,-1,-2,3,-8,-4,-38,2,2025-02-24 12:31:43.291,2.0
-1,1,-1,2,-16,0,8,2,2025-02-24 12:31:43.302,2.0
-1,1,-1,2,-16,0,8,2,2025-02-24 12:31:43.313,2.0
6,-1,0,-1,-24,-2,2,-1,2025-02-24 12:31:43.324,2.0
-4,1,-1,0,-18,0,3,-2,2025-02-24 12:31:43.335,2.0
5,1,1,1,-18,1,-2,2,2025-02-24 12:31:43.347,2.0
6,6,-1,-2,-20,-5,-14,1,2025-02-24 12:31:43.358,2.0
10,-5,1,14,-38,-1,0,5,2025-02-24 12:31:43.369,2.0
10,-5,1,14,-38,-1,0,5,2025-02-24 12:31:43.380,2.0
-3,-5,-1,5,-27,-4,3,-5,2025-02-24 12:31:43.391,2.0
-3,-5,-1,5,-27,-4,3,-5,2025-02-24 12:31:43.404,2.0
-4,-6,-2,16,-27,4,-6,-5,2025-02-24 12:31:43.416,2.0
-6,-7,1,-22,54,17,0,6,2025-02-24 12:31:43.428,2.0
-3,16,0,-7,-24,-12,14,-1,2025-02-24 12:31:43.440,2.0
5,9,-6,-37,-41,-1,12,-1,2025-02-24 12:31:43.452,2.0
5,9,-6,-37,-41,-1,12,-1,2025-02-24 12:31:43.464,2.0
-2,-20,-4,9,-9,-2,14,-2,2025-02-24 12:31:43.475,2.0
-2,-20,-4,9,-9,-2,14,-2,2025-02-24 12:31:43.486,2.0
-2,-25,-9,-7,-15,-9,6,1,2025-02-24 12:31:43.496,2.0
-2,-25,-9,-7,-15,-9,6,1,2025-02-24 12:31:43.508,2.0
-15,5,0,7,1,3,-6,1,2025-02-24 12:31:43.519,2.0
-3,13,6,6,-5,1,-2,-2,2025-02-24 12:31:43.530,2.0
-4,-47,-5,-15,-11,5,-29,-4,2025-02-24 12:31:43.541,2.0
20,30,3,0,-4,-5,-39,-2,2025-02-24 12:31:43.553,2.0
20,30,3,0,-4,-5,-39,-2,2025-02-24 12:31:43.564,2.0
9,25,4,9,-20,-2,3,-1,2025-02-24 12:31:43.575,2.0
-8,20,0,-6,-16,-8,2,-1,2025-02-24 12:31:43.586,2.0
2,72,10,7,-22,1,3,0,2025-02-24 12:31:43.597,2.0
-1,28,-6,14,-4,0,5,2,2025-02-24 12:31:43.608,2.0
-7,10,-1,-21,-34,-7,10,-2,2025-02-24 12:31:43.619,2.0
-7,10,-1,-21,-34,-7,10,-2,2025-02-24 12:31:43.631,2.0
-13,0,6,-5,-31,-8,1,0,2025-02-24 12:31:43.643,2.0
-13,0,6,-5,-31,-8,1,0,2025-02-24 12:31:43.654,2.0
11,-23,4,13,-12,5,27,-1,2025-02-24 12:31:43.665,2.0
12,31,7,-4,-21,2,14,3,2025-02-24 12:31:43.676,2.0
1,5,-6,0,-15,4,13,0,2025-02-24 12:31:43.687,2.0
7,-38,-4,9,-18,-3,6,-2,2025-02-24 12:31:43.697,2.0
7,-38,-4,9,-18,-3,6,-2,2025-02-24 12:31:43.708,2.0
5,3,-11,-11,-22,-2,25,0,2025-02-24 12:31:43.720,2.0
5,3,-11,-11,-22,-2,25,0,2025-02-24 12:31:43.731,2.0
1,-24,-2,2,-13,7,5,2,2025-02-24 12:31:43.742,2.0
-1,-20,-5,-9,-26,-3,-1,-3,2025-02-24 12:31:43.755,2.0
-10,3,0,3,-19,2,-13,0,2025-02-24 12:31:43.765,2.0
-1,50,-5,-5,-21,-2,-17,-2,2025-02-24 12:31:43.776,2.0
0,-12,-1,-1,-19,0,4,1,2025-02-24 12:31:43.787,2.0
-11,14,1,-4,-16,-1,-5,-3,2025-02-24 12:31:43.799,2.0
-5,6,4,0,-20,0,0,2,2025-02-24 12:31:43.810,2.0
4,4,-5,0,-17,-2,-11,-5,2025-02-24 12:31:43.821,2.0
