Raw EMG - Pod01,Raw EMG - Pod02,Raw EMG - Pod03,Raw EMG - Pod04,Raw EMG - Pod05,Raw EMG - Pod06,Raw EMG - Pod07,Raw EMG - Pod08,Timestamp
-19,0,-2,-2,-12,-1,-2,-8,2025-03-11 15:06:35.563
-3,0,0,-1,-9,-3,-3,-1,2025-03-11 15:06:35.574
-3,0,0,-1,-9,-3,-3,-1,2025-03-11 15:06:35.586
8,-2,0,0,-11,-1,-1,-1,2025-03-11 15:06:35.597
8,-2,0,0,-11,-1,-1,-1,2025-03-11 15:06:35.608
1,-3,-1,-3,-10,-2,-3,-4,2025-03-11 15:06:35.619
1,-3,-1,-3,-10,-2,-3,-4,2025-03-11 15:06:35.631
7,0,-1,1,-11,-1,-2,3,2025-03-11 15:06:35.643
8,-1,0,0,-10,-2,-1,0,2025-03-11 15:06:35.653
-7,-2,-1,-1,-11,0,-1,0,2025-03-11 15:06:35.664
-1,-5,-1,-2,-12,-2,0,-2,2025-03-11 15:06:35.675
11,-1,-1,-1,-11,-2,0,2,2025-03-11 15:06:35.687
-6,1,-1,-1,-8,-2,-1,-2,2025-03-11 15:06:35.698
-6,1,-1,-1,-8,-2,-1,-2,2025-03-11 15:06:35.709
14,0,-1,-2,-10,0,-1,1,2025-03-11 15:06:35.721
14,0,-1,-2,-10,0,-1,1,2025-03-11 15:06:35.732
-10,-3,-1,0,-10,-2,-1,-2,2025-03-11 15:06:35.742
4,0,-1,-1,-10,-2,-2,-1,2025-03-11 15:06:35.753
-3,-1,-2,-2,-11,-1,0,0,2025-03-11 15:06:35.764
-3,-2,0,-2,-11,-1,0,0,2025-03-11 15:06:35.776
-8,-2,-1,-1,-11,-1,-1,-3,2025-03-11 15:06:35.787
-2,-2,-3,-1,-12,1,0,-1,2025-03-11 15:06:35.798
-2,-2,-3,-1,-12,1,0,-1,2025-03-11 15:06:35.809
-4,0,1,0,-9,-1,-1,-1,2025-03-11 15:06:35.821
-4,0,1,0,-9,-1,-1,-1,2025-03-11 15:06:35.832
6,1,-3,-2,-10,0,-1,-1,2025-03-11 15:06:35.843
6,1,-3,-2,-10,0,-1,-1,2025-03-11 15:06:35.854
-11,0,1,-1,-13,-1,-2,-1,2025-03-11 15:06:35.874
8,0,0,-1,-10,-2,-2,1,2025-03-11 15:06:35.886
-5,-9,-1,-1,-11,-1,-4,-3,2025-03-11 15:06:35.890
-5,-9,-1,-1,-11,-1,-4,-3,2025-03-11 15:06:35.899
-5,-9,-1,-1,-11,-1,-4,-3,2025-03-11 15:06:35.910
4,3,-2,0,-11,-2,-3,-1,2025-03-11 15:06:35.921
6,-1,0,-1,-12,-1,-2,-4,2025-03-11 15:06:35.932
5,-1,0,-2,-10,-2,0,-1,2025-03-11 15:06:35.943
-6,-3,0,-1,-10,0,0,1,2025-03-11 15:06:35.954
-13,-3,-3,-3,-12,0,0,-3,2025-03-11 15:06:35.965
-4,-2,-3,-1,-11,-2,-3,1,2025-03-11 15:06:35.977
-1,-2,-1,-2,-11,-2,-1,0,2025-03-11 15:06:35.988
4,0,-1,-1,-11,0,0,-1,2025-03-11 15:06:35.999
4,0,-1,-1,-11,0,0,-1,2025-03-11 15:06:36.013
-10,-6,-2,-1,-10,-3,1,-3,2025-03-11 15:06:36.021
-10,-6,-2,-1,-10,-3,1,-3,2025-03-11 15:06:36.032
6,3,-1,0,-9,0,-2,0,2025-03-11 15:06:36.044
-8,-3,-2,-2,-11,0,0,1,2025-03-11 15:06:36.055
1,1,0,-1,-11,0,1,-2,2025-03-11 15:06:36.066
-1,0,-4,-2,-12,-2,0,1,2025-03-11 15:06:36.078
-1,0,-4,-2,-12,-2,0,1,2025-03-11 15:06:36.089
-8,0,-1,-1,-12,-3,-1,-2,2025-03-11 15:06:36.100
-8,0,0,0,-12,-1,0,-3,2025-03-11 15:06:36.111
3,0,-1,-1,-11,-1,-1,-1,2025-03-11 15:06:36.122
3,0,-1,-1,-11,-1,-1,-1,2025-03-11 15:06:36.133
-3,0,-1,-1,-11,-1,0,0,2025-03-11 15:06:36.144
-3,0,-1,-1,-11,-1,0,0,2025-03-11 15:06:36.155
-7,-3,-1,-1,-10,1,-1,-1,2025-03-11 15:06:36.167
5,-1,1,-1,-12,-2,-2,4,2025-03-11 15:06:36.178
-15,-4,0,-1,-9,-2,-2,-1,2025-03-11 15:06:36.190
13,0,0,-2,-10,-2,1,-1,2025-03-11 15:06:36.201
13,0,0,-2,-10,-2,1,-1,2025-03-11 15:06:36.211
8,-2,-3,-2,-12,-1,-2,0,2025-03-11 15:06:36.223
-2,-1,-1,-2,-11,-1,-2,-4,2025-03-11 15:06:36.234
